target,capacity,max_p,max_w,min_p,min_w,avg_eff,mean,std
map_kp,19369,981,958,7,3,1.8842563531267664,476.69814469637765,283.9998160272916
map_kp,22028,990,990,39,53,0.906618172664273,521.2781592092203,290.7984312933639
map_kp,21298,987,992,22,3,2.0178238179426167,524.7400581531018,293.4244007299356
map_kp,21125,984,997,17,3,1.1585176394665717,478.4209389199967,311.84131058835436
map_kp,19364,990,971,45,13,1.6369379221492624,503.73467721406837,273.07046444254155
map_kp,19130,981,958,7,3,1.9777354768979623,473.7061427670961,286.8345073009
map_kp,22028,990,990,39,53,0.907654471869312,522.1434690454279,289.81646448553334
map_kp,21369,987,992,22,3,2.015928934481714,525.6302935678128,293.6043395716519
map_kp,21125,968,997,17,3,1.1224010117790177,471.91994593623696,307.9861996900885
map_kp,21435,984,997,17,3,1.1018083777500964,482.2913519833212,309.65124094178475
map_kp,22028,990,990,39,53,0.9077042845673224,522.3534099932394,291.71010785653255
map_kp,20893,987,992,22,3,2.0194771277817503,519.6755904699456,293.328268351755
map_kp,19369,990.2593382356175,958,7,3,1.9019854455736118,484.25073807873383,287.4928258241135
map_kp,19369,981,958,7,3,1.8848224188567075,476.9511760776614,284.1564269107323
map_kp,19620,981,958,7,3,1.876740231954298,479.83783985281013,285.94679408804774
map_kp,21298,987,992,22,3,2.0194238605973087,526.2200976086923,291.55986465146293
map_kp,19186,981,958,7,3,1.8868623438279786,474.6625989012285,282.15389368643775
map_kp,19369,981,958,7,3,1.8515405430201903,476.20740754477896,283.76815848972643
map_kp,22011,990,990,39,53,0.9070440626637891,521.0656375357047,290.695219541642
map_kp,21125,984,997,17,3,1.1666368125829911,483.08134428882147,314.1086988637783
map_kp,19091,981,958,7,3,1.890978275612631,473.4823472610372,284.76198229803373
map_kp,20994,987,992,22,3,1.9622722323385304,520.9420308349695,291.5918745348753
map_kp,22193,990,990,39,53,0.9044833203989943,523.3330671009035,290.8792585196765
map_kp,21298,987,992,22,3,2.027705298957339,533.2480133067779,293.02990614607063
map_kp,19369,981,958,7,3,1.902026674741683,483.94843591526364,281.6720008047648
