target,capacity,max_p,max_w,min_p,min_w,avg_eff,mean,std
miw_kp,22315,976,982,4,123,0.5653265090932192,498.83843623279716,285.6962832370384
miw_kp,22286,968,976,17,1.2139590548948815,3.582039567309713,498.52213959054893,309.00660361071095
miw_kp,22512,968,976,17,34,0.6849914297282952,499.89303487501905,305.0104899667578
miw_kp,22512,968,976,17,34,0.6798048230303173,496.4643091994457,307.29597462099014
miw_kp,22512,968,976,17,34,0.6755589844658177,494.6108655280317,301.55083014765455
miw_kp,22763,976,982,4,123,0.5347520611561851,504.44588820654013,284.8851208197546
miw_kp,22358,968,976,17,34,0.6854071778606152,497.97583989888864,304.95261977854784
miw_kp,22512,968,976,17,34,0.6833713393657671,498.3859148434724,307.64843815073726
miw_kp,22296,976,982,4,123,0.5693437134812114,501.1023866456581,282.3161448493852
miw_kp,22743,968,990.0451955425721,17,34,0.6851876240826726,502.78629185431436,308.8576808958467
miw_kp,22296,976,982,4,123,0.5676577328830423,500.13463378230915,283.48608521593206
miw_kp,22605,968,976,17,34,0.6756599801544148,501.06541536163076,303.85571986311476
miw_kp,22113,968,976,17,34,0.6863619760596901,494.90892888170566,303.9027509760085
miw_kp,22512,968,976,17,34,0.6866724529382231,500.76931884278565,306.309856914194
miw_kp,22358,968,976,17,34,0.6896083430989463,499.0807463565697,305.1254594727189
miw_kp,22290,968,976,17,1.2139590548948815,3.5819239631063997,498.57297048578823,308.97945929880626
miw_kp,22315,976,982,4,123,0.5737609264236996,500.51688528156274,285.1155118272786
miw_kp,22484,976,982,4,123,0.565224419951488,500.9594530675479,287.69490732159716
miw_kp,22892,976,999.8885863324839,4,123,0.5500820552506509,506.057322096122,289.12466225198096
miw_kp,22315,976,982,4,123,0.5695347653520678,499.3420125036492,284.9987614858199
miw_kp,22484,976,982,4,123,0.5594093775200011,496.41790492855665,289.077061537899
miw_kp,22113,968,976,17,34,0.738022003824665,497.23363013112953,302.34717600210104
miw_kp,22154,968,976,17,1.2139590548948815,3.582374952512103,496.87443702598756,308.87904791877656
miw_kp,22484,976,982,4,123,0.5510105314647478,491.4219338929452,287.9622048100152
miw_kp,22321,968,976,17,34,0.6856054778105362,497.51507350471513,305.5115199057468
miw_kp,22113,968,976,17,34,0.6771006006041097,489.8151723811365,302.3744805313698
miw_kp,22484,976,982,4,123,0.5644210815164442,500.2381807763083,286.98870659569786
miw_kp,22301,968,976,17,34,0.6858524589877497,497.25972629137425,304.9641656312411
miw_kp,22512,968,976,17,34,0.6839734751365897,499.33315984958114,304.44020142341304
miw_kp,22296,976,982,4,123,0.5624380811846108,497.5528916452055,284.4180604769169
miw_kp,22315,976,982,4,123,0.5649949409385537,498.64314258969915,285.9610479872795
miw_kp,22164,968,976,17,34,0.6897196798728602,495.5455365618294,302.43531321205944
miw_kp,22140,968,976,17,34,0.7370344644849918,497.5759459165287,302.4374108876719
miw_kp,22254,968,976,17,34,0.6955653732611414,496.677777439272,304.31446804298207
miw_kp,22513,976,982,4,123,0.5585987139990827,501.31395485938265,285.2167116197969
miw_kp,22105,976,982,4,123,0.5809156202894556,496.2240160570743,286.6669534998706
miw_kp,22484,976,982,4,123,0.5573119050780043,499.7963133811458,286.07939191834373
miw_kp,22609,976,982,4,123,0.5629241980034678,502.5242676979523,288.47436275133225
miw_kp,22286,968,976,17,1.2139590548948815,3.58272545400972,499.13600818705527,308.96659980636275
miw_kp,22113,968,976,17,34,0.6848119090057554,493.63477376337147,302.19987497987836
miw_kp,22484,965,982,4,123,0.5541010766239262,497.555710009314,284.0448714281275
miw_kp,22219,976,982,4,123,0.5792221185680946,497.64982856407835,287.62341142265
miw_kp,22512,968,976,17,34,0.6867977605845149,500.4114518307542,304.6750774028492
miw_kp,22315,976,982,4,123,0.5665646788635271,499.8054468234077,286.32862851302275
miw_kp,22315,965,982,4,123,0.5633119531561437,498.2219821160521,284.7309104872731
miw_kp,22315,976,982,4,123,0.5686674062456547,500.8062246555817,283.7581734344614
miw_kp,22113,968,976,17,34,0.6856908679164936,494.63224407927265,304.3163593105913
miw_kp,22029,976,982,4,123,0.5669818354622744,495.2700802965621,282.36035454441804
miw_kp,22190,968,976,17,34,0.6862436024221078,495.8743541225126,304.69869229606024
miw_kp,22323,968,976,17,34,0.6889132966077165,497.53312258851014,303.1534034101276
miw_kp,22286,968,976,17,1.2139590548948815,3.5807724079767986,497.3386127736069,307.8135474598558
miw_kp,22315,965,982,4,123,0.5401059206567126,491.1209361712261,283.1144616101183
