target,capacity,max_p,max_w,min_p,min_w,avg_eff,mean,std
default_kp,20655,977,979,2,30,0.9522563674589962,460.0724178503409,288.74123143051577
default_kp,20655,977,979,2,30,0.9513348534496309,459.6252304374112,287.7958070058793
default_kp,20655,977,979,2,30,0.9565126488150777,462.42220041670777,286.50417050995935
default_kp,20712,977,979,2,30,0.955876908530245,463.13609417551356,286.7953456197406
default_kp,20650,977,979,2,30,0.956533088765337,462.36192255654066,286.42634986090883
default_kp,20452,977,979,2,30,0.981107344979092,457.6407247020033,290.57086936069356
default_kp,20426,977,979,2,30,0.9596094380303056,457.30844790154515,288.41329967044294
default_kp,20488,977,979,2,30,0.9532421061916146,458.0884664147548,286.01187415303167
default_kp,20655,977,979,2,30,0.9974463823956452,461.65406837312366,290.1195344159421
default_kp,20829,977,979,2,30,0.899036671677978,462.35068584289604,286.86537172978063
default_kp,20655,977,979,2,30,0.9483096313621666,458.94759806274453,288.825952144918
default_kp,20426,977,979,2,30,0.9602520719135534,457.9298748666459,287.55761234704335
default_kp,20353,977,979,2,30,0.954314192094012,456.2951036417071,285.02888844941
default_kp,20426,977,979,2,30,0.9599322611171925,457.4301522053015,288.2916242264549
default_kp,21135,977,979,2,30,0.8819081369344345,466.1751882658503,287.62472445793156
default_kp,20212,977,967,2,30,0.9544577407982565,454.53242665825644,282.32311888235694
default_kp,20353,977,979,2,30,0.9569318364985426,457.2819555822152,284.1812860919267
default_kp,20419,977,979,2,30,0.9543115789971987,457.12600033019066,286.02364447241484
default_kp,20252,977,979,2,30,0.9597948757409032,455.1367116563868,286.3929317017304
default_kp,20678,977,979,2,30,0.9431133068501506,460.3590630039873,288.4582773793209
default_kp,20488,977,979,1.1049928948728667,30,0.9517604227888051,457.6395163437036,286.69279814732994
default_kp,20655,977,979,2,30,0.9615071022749723,463.58091361940336,286.8555439688966
default_kp,21331,977,979,2,35,0.9020399567499389,468.5188260504916,288.3907135663436
default_kp,20709,977,979,2,30,0.9515944382189413,460.7475439707068,289.17661259347983
default_kp,20302,977,979,2,30,0.9559712567949077,455.76544748964994,286.11615112063816
default_kp,20450,977,979,2,30,0.9532902162562779,457.61584508597133,285.69357200652206
default_kp,20419,977,979,2,30,0.8821712593698103,454.6010891432321,285.5652033951027
default_kp,20353,977,979,2,30,0.9550884814795216,456.6667625467517,285.34960883001406
default_kp,20385,977,967,2,30,0.952248679597702,456.6954742847214,284.4567688317167
default_kp,20488,977,979,2,30,0.9615458261763632,460.0149294512166,286.88127424373226
default_kp,20642,977,979,2,30,0.9588586312088166,460.011751056365,287.90693167702403
default_kp,20288,977,979,2,30,0.9574292343046272,455.58715372452644,286.1603130621021
default_kp,20386,977,979,2,30,0.9543247049610428,456.71663169651526,285.604541768707
default_kp,20349,977,967,2,30,0.9508899423190138,456.24662929529933,283.08907022351366
default_kp,20631,977,979,2,30,0.9526316855666983,459.77129597565477,288.84339240558074
default_kp,20337,977,979,2,30,0.9597077412805934,456.2028615642479,287.40237362466684
default_kp,20214,977,967,2,30,0.9544436006566167,454.5609135576087,282.3079708692758
default_kp,20531,977,967,2,30,0.9443497171460171,458.51950384669357,282.7158421092659
default_kp,20349,977,967,2,30,0.9515552881807663,456.7256783157612,283.15415618355166
default_kp,20623,977,967,2,35,0.9053276928191937,459.6680575977963,279.2077282860595
default_kp,20879,977,979,2,30,0.8027224877827327,462.9695348771401,285.97110514431535
default_kp,20252,977,979,2,30,0.9590084590790029,454.86067940805987,286.4823608601566
default_kp,20405,977,979,2,30,0.9596542393692374,457.04260710969606,288.469727582338
default_kp,20212,974,967,2,30,0.9306115721750148,450.3355009805658,277.60517400813325
default_kp,20623,977,967,2,35,0.9402802170608201,461.87006662501875,278.1594517136882
default_kp,20209,977,979,2,30,0.9557106123397895,454.5024698269568,285.3412345168146
default_kp,20322,977,967,2,35,0.954302419942743,455.9174286647856,282.03218393570546
default_kp,20194,977,967,2,30,0.9545273087066615,454.31182582947986,282.24923169979576
default_kp,20439,977,967,2,30,0.9523456570749584,457.37168422500343,285.31435459568667
default_kp,20272,977,967,2,30,0.9538476702243576,455.2883931598543,282.7990418393915
